word,meaning
explorer, n. 探测者
exploration," n. 探险,踏勘,探测"
exploratory, adj. 勘探的，探索的
dweller, n. 居民
dwell," vi. 居住, 存在, 冥想, 详细阐述"
drought, n. 干旱
divide," vt.& vi.分； 划分； 分离； （使）产生分歧
n.分水岭，分界线； 分配"
decay," n. 衰退, 腐败
v. 衰退, 腐败"
copper," adj. (紫)铜色的,铜(制)的
n. 铜,铜币,铜制品"
coppersmith," n. 铜匠, 铜器制造人
n. 赤胸拟啄木鸟"
complicate," vt. 弄复杂, 使错综, 使起纠纷"
ceremony," n. 典礼,仪式,礼节,礼仪"
ceremonial," n. 仪式
adj. 正式的"
cast," n. 演员阵容, 投掷
v. 投, 掷, 抛"
brick," adj. 砖似的
n. 砖
v. 用砖围砌,用砖填补
vt. (up)用砖砌,用砖堵住"
visual," adj. 视觉的 n. 画面, 图象"
tube," n. 地铁,电子管,显像管,管,软管;电视"
tiny," adj. 极小的,微小的"
stretch," n. 伸展,张开
adj. 可伸缩的
vt. &vi. 伸展,张开,延伸"
sharp," adj. 刺耳的,锋利的,急剧的
adv. [时刻]正,准
夏普(财富500强公司之一，总部所在地日本,主要经营电子电气)"
refer," vt. 把…提交; 把...归因, 归类为
vi. 谈及, 咨询, 参考"
realism," n. 写实主义, 现实主义"
predict," v. 预知, 预言, 预报"
unpredictable, adj. 不可预知的
beneath," adv. 在下方
prep. 在下方,在...之下"
accompany," vt. 陪伴, 伴随，给...伴奏
vi. 伴奏"
animation," n. 活泼,有生气,卡通制作"
abundance," n. 丰富,充裕"
volume," n. 体积, 容量, 音量
n. 卷, 册"
predictable, adj. 可预言的
prediction," n. 预言, 预报"
opposite," adj. 相对的, 相反的, 对面的
n. 对立物，对立者，对手
adv. 在对面地，处于相反位置地
prep. 在...对面"
negative," adj. 否定的,负的,消极的
n. 底片，负数，否定
vt. 否定"
moral," adj. 道德(上)的,有道德的
n. 品行,寓意,道德"
modify," vt. 修改,调正,缓和
vi. 修改"
modification," n. 修正, 修饰, 修改"
Missouri, n. 密苏里(美国州名)
Mississippi," n. 密西西比(美国州名)
n. 密西西比河(美国河流名)"
investigation, n. 调查
investigator," n. 调查者, 研究者, 审查者"
investigate," vt. &vi. 调查,研究
[计算机] 研究"
inner," adj. 内部的,里面的,内心的
n. 里面,内部"
innermost," adj. 内心的, 最深处的
n. 最深处"
initial," n. (词)首字母
adj. 开始的, 最初的, 字首的
vt. 签姓名的首字母于"
graze," v. 放牧，（牛、羊等）吃草，
v. 轻擦，蹭
n. 放牧
n. 擦伤"
overgraze, vt. 使过度放牧
giant," adj. 巨大的
n. 巨人,伟人,巨大的东西"
generate," vt. 产生,发生,引起
[计算机] 产生"
derive," v. 得自, 起源, 引申于"
Dakota, n. 达科他人(语)
critical, adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
criticize," vt. 批评, 吹毛求疵, 非难
vi. 批评"
criticism," n. 批评,评论"
creature," n. 生物, 动物, 人"
consume," vt.  消耗，毁灭，吃，喝, 挥霍
vi. 耗尽生命, 被烧毁"
consumption, n. 消费
consumer," n. 消费者,用户, 消费品"
coarse," adj. 粗糙的,非精制的,粗俗的"
classical," adj. 古典的, 典雅的, 经典的"
barb," n. 倒钩
n. 尖刻、刻薄的言语
vt. 给...装倒钩"
Atlantic," adj. 大西洋的
n. 大西洋"
apart," adv. 分别地,分开地，有区别地
adj. 分开的，分离的"
anthropologist, n. 人类学家
agrarian," adj. 土地的, 耕地的
n. 平均地权论者"
stage," n. 阶段,舞台,驿站
v. 上演,表演,乘驿车旅行"
stagecoach," n. 驿马车,公共马车"
virtue," n. 美德,优点;贞操"
theme," n. 题目, 主题"
puzzle," n. 难题,迷惑
vt. 使困惑,解决
vi. 迷惑,苦思"
symbol," n. 符号, 标志, 象征"
symbolic," n. 代号
adj. 象征的, 符号的"
symbolism," n. 象征主义, 象征, 符号化"
signal," n. 信号,导火线,动机
vt. 发信号,标志
vi. 发信号
adj. 显著的"
seek," n. 找寻
v. 寻求,寻找,搜索"
sought," vbl. 寻找,搜索(seek的过去式和过去分词)"
saturate," v. 使渗透, 浸, 使饱和
adj. 浸透的, 饱度高的, 深颜色的"
random," n. 随意,任意
adj. 任意的,随便的,胡乱的
adv. 随机地"
pure," adj. 纯的, 纯洁的, 纯理论的, 抽象的, 完全的"
philosophy," n. 哲学,哲理"
philosopher, n. 哲学家，思想家，达观者
propose," v. 计划, 打算, 向...提议; 求婚"
Pennsylvania, n.宾夕法尼亚(美国州名)
overcome," vt. 战胜,克服,(感情等)压倒, 使受不了
vi. 获胜, 赢"
Ohio, n. 俄亥俄州
nutritional," adj. 营养的,滋养的"
nutrition, n. 营养
magnetic," adj. 有磁性的,有吸引力的,催眠术的"
magnetosphere, n. 磁气圈
justify," vt. 替...辩护,证明...正当
n. 对齐
[计算机] 调整"
investment," n. 投资,投入,投资额"
investor, n. 投资者
invest," vt.& vi.投资； 花费
vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖"
interpret," v. 解释, 演出, 翻译
[计算机] 解释"
interpretation," n. 解释,演出,翻译,互動"
impression," n. 印象, 效果"
impressive, adj. 给人深刻印象的
Impressionism, n. 印象派，印象主义
impressionist," n. 印象主义者，印象派作家
adj. 印象派的"
impress," n. 印象,特徵,印记
vt. 使...有印象,影响,印刻,传送
vi. 给人印象"
imitate," v. 模仿
vt. 仿制,仿造,模仿,仿效"
imitation," n. 模仿,效法
adj. 假造的,冒充的"
imitative," adj. 仿制的, 模仿的"
glaze," v. 装以玻璃, 上釉, 变得光滑，变呆滞
n. 釉, 覆罩的一层"
geometric," adj. 几何学的, 几何学上的, 几何学图形的"
furniture, n. 家具
fail," vi. 衰退,失败,不及格
vt. 辜负,缺少,未能做
n. 不及格"
failure," n. 失败,失败的人或事"
formal," adj. 正式的,形式的,礼节上的,拘谨的
n. 正式(活动)"
formalize, vt. 使正式化
extract," n. 榨出物,精华,摘录
vt. 拔出,榨出,摘录,提取,选取
[计算机] 提取"
extraction," n. 抽出, 取出, 抽出物
n.血统"
entrance," n. 入口
v. 使出神,使入迷
vt. 使出神"
entry," n. 进入,入口,登记,项目"
enormous," adj. 巨大的, 庞大的"
engage,v. 啮合；雇用；聘用；吸引住（注意力、兴趣）；参与，从事
encourage," v. 鼓励,激励,支持
vt. 鼓励"
durable," adj. 耐用持久的
n. (复)耐用品"
crucial," adj. 关键的,决定性的"
molecule, n. 分子
molecular, adj. 分子的
conclusion, n. 结论
conclude," vt. 使结束, 缔结, 断定, 得出结论
vi. 结束, 作出决定"
conclusive," adj. 决定性的, 确实的, 最后的"
collectively, adv. 共同地，集体地，总体地
collection," n. 收藏品,收集物,小组,集合"
collectible," n. 收藏品
adj. 可收集的"
coal," n. 煤, 木炭, 运煤工
vt. 烧成炭,供应煤
vi. 装煤, 加煤"
charcoal," n. 木炭, 炭笔"
boom," n. 繁荣,低沉声,帆杠,水栅
vi. 发出低沉声,急速增长
vt. 回响,急速增加,有力地击打"
band," n. 带;箍,队,乐队
vt. &vi. 联合,结合"
awareness," n. 认识(了解,知道)"
aware," adj. 知道的, 意识到的"
ash," n. 灰, 灰烬"
archaeopteryx," n. 始祖鸟, 始祖鸟属"
archaeology, n. 考古学，古迹，文物
archaeologist, n. 考古学家
annual," adj. 每年的,年度的,一年生的
n. 年刊,年鉴,一年生植物"
annually," adv. 每年,年年
n. 每年"
Los Angeles, n. 洛杉矶(美国城市)
aesthetic," adj. 美学的,审美的,有美感的
n. (复数)审美观"
acid," adj. 酸的
n. 酸, 酸味物质"
acidic," adj. 酸的,酸性的"
account," n.账，账目； 存款； 记述，报告； 理由
vi.解释； 导致； 报账
vt.认为； 把…视作"
union," n. 联盟,结合,政党,工会,连接轴
adj. 联邦政府的,工会的"
unfortunately, adv. 不幸地
ultimately," adv. 最后,最终"
trap," n. 圈套,陷阱,困境,双轮轻便马车 
vt. &vi. 设圈套,设陷阱"
stream," n. (人,车,气)流,水流,组
vt. 流出,飘动
vi. 流动,飘动,接踵而来"
streamline," n. 流线, 流线型
v. 使...成流线型, 使...合理化"
subsequent," adj. 随后的,后来的"
stove," n. 炉子,火炉窑;烘房；【主英】温室
v. stave的过去式和过去分词"
severe," adj. 剧烈的, 严重的, 严峻的, 严厉的, 严格的"
severely," adv. 严重地(艰难地, 紧凑地, 纯朴地)"
schedule," n. 时间表, 一览表, 计划
vt. 安排, 计划, 预定, 编制目录"
satire," n. 讽刺文, 讽刺"
roof," n. 屋顶, 顶盖
vt. 给...覆以屋顶,覆盖"
reject," n. 被拒之人,不合格品,不及格者
v. 拒绝,驳回,丢弃"
rejection," n. 拒绝, 被弃, 被抛弃的实例"
progressively," adv. 渐进地, 逐渐地"
portrait," n. 肖像,画像
adj. (文件页面)竖的"
piano," n. 钢琴
adj. &adv. 轻柔的"
pace," n. 速度,步调,步法
vt. 踱步,调整节奏
vi. 缓慢地走"
nevertheless," adv. 仍然, 不过
conj. 然而, 不过"
nervous," adj. 紧张的,焦虑的,神经质的"
Neolithic, adj. 新石器时代的
molt," n. 换毛, 脱皮, 换毛期
v. 换毛，脱毛 
=moult(美)"
maria," 名词mare的复数形式
Maria: 玛丽亚(女子名)"
leadership," n. 领导, 领导才干"
height," n. 高度,高处,身高, 最高峰, 极点"
heighten," v. 增高,提高,加强"
gain," n. 增益, 获得, 利润
vt. 得到, 增进, 获利
vi. 增加, 得到, (钟, 表等)走得快"
fuel," n. 燃料,木炭
vt. 供以燃料
vi. 加燃料"
fluctuate," vi. 变动, 上下, 动摇
vt. 使动摇"
flood," n. 洪水,水灾
v. 淹没,溢出
vi. 大量涌到,泛滥
vt. 灌溉,淹没"
fiction," n. 小说,虚构"
fictional," adj. 虚构的, 编造的, 小说式的"
extra," adj. 额外的
adv. 特别地
n. 额外的事物，另外收费的"
drain," n. 下水道,排水沟,消耗
vt. 耗尽,排出,排干,喝光
vi. 变干,排出,排水"
drainage, n. 排水；排水系统；污水；排水面积
creative, adj. 创造性的
chain,"n. n. 链,连锁,束缚"
category," n. 种类, 类别"
attention," n. 注意(力),关心,立正"
arrangement," n. 安排,商议,整理"
arrange," vt. 安排,整理,计划,改编(乐曲)
vi. 协商,计划"
adjacent," adj. 毗连的,邻近的,接近的"
access," n.入口，出口； 接近，进入； 增长； 爆发
vt.接近，进入； 使用，接近，获取"
accessible," adj. 可得到的, 易接近的, 可进入的"
inaccessible," adj. 难接近的, 难达到的, 难达成的"
wheat," n. 小麦, 小麦色"
wagon," n. 四轮马车,货车
vt.& vi. 用四轮马车运"
voyage," n. 航行,旅程
vt.& vi. 航行,旅行"
voyager," n. 航行者, 航海者"
transition," n. 过渡,转变"
transit," n. 经过,运输
vt. 穿越,旋转
vi. 越过"
tract," n. 广阔的土地,地域,器官系统,宣传小册子"
thrive," vi. 兴旺,繁荣"
squeeze," n. 压榨,榨出的少量,佣金,经济拮据
vt. 紧握,挤压,使经济困难
vi. 让步,压迫,险胜"
scheme," n. 方案, 计划, 阴谋
v. 计画, 设计, 体系, 结构, 图谋"
revise," n. 校订, 修正, 再校稿
v. 校订, 修正, 校正"
respect," n. 尊敬, 敬重; 关系, 方面
vt. 尊敬, 尊重; 关于, 涉及"
repress," v. 抑制,压制,阻止"
pterosaur, n. 翼龙
positive," adj. 肯定的, 积极的, 绝对的
adj. 正面的, 正数的, 阳性的"
popularity," n. 普及,流行"
moderate," adj. 适度的, 稳健的, 温和的, 中等的
v. 节制, 使...稳定, 使...缓和
n. 稳健的人"
mill," n. 磨粉机, 磨坊, 制造厂, 密尔:一种货币单位
vt. 磨细
vi. 乱转, 磨细"
nerve," n. 神经(生物)，精神,勇气,叶脉
vt. 鼓起勇气"
journeyman, n. 熟练工人，计日工
jet," n. 喷气式飞机，喷射,喷出,黑玉大理石
vt. 射出，喷射
vi. 气流中喷出
adj. 煤黑色的"
handle," n. 柄,把手
vt. 买卖,处理,操作
vi. 驾驭"
inspire," vt. 影响，使...感动, 激发，煽动
vi. 吸入"
inspiration," n. 灵感,吸入,鼓舞人心(的东西)"
hatch," n. 孵化,舱口
vt. 孵,孵出
vi. 孵化，破壳"
gulf, n. 海湾
furthermore," adv. 而且, 此外"
flat," adj. 平坦的, 单调的, 扁平的
adv. 平直地, 干脆地
n. [英]公寓
vt. 变平
vi. 降调"
excavate," v. 挖掘, 挖开, 凿通"
enlarge," v. 扩大, 增大"
engrave, v. 雕刻
Dutch," adj. 荷兰的
n. 荷兰人"
distant," adj. 遥远的,疏远的，远房的，陌生的，远行的"
debris," n. 碎片, 残骸"
crude," adj. 粗鲁的,简陋的,天然的,未加工的
n. 原油"
control," n. 克制,控制,管制,操作装置
vt. 控制,掌管,支配"
confirm," v. 确定, 批准, 证实"
cone," n. 圆锥体,锥形物,球果
vt. 变成锥形,削尖"
cognitive," adj. 认知的,认识的,有认识力的"
clue," n. 线索
vt. 提示"
classify," v. 分类,归类,分等"
catastrophe," n. 大灾难,大祸,彻底失败"
border," n. 边缘
vt. 作...之疆界,加边"
barrier," n. 界线,屏障,障碍物
v. 以屏障隔开"
bare," adj. 赤裸的,显露的,极少的,仅仅的
vt. 使赤裸,露出"
award," vt.授予，奖给，判给； 判归，判定
n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书"
assemble," vt. 聚集,集合,装配
vi. 集合, 聚集"
Antarctica, n. 南极洲
alternative," adj. 两者择一的; 供选择的; 非主流的
n. 替换物, 取舍"
alter, v. 改变
absence of, 缺少，没有
abandon," n. 放纵
vt. 放弃,遗弃,沉溺"
wherever," adv. 无论什么地方，在......的各个地方
conj. 无论在哪里"
whatever," pron.&amp;conj. 无论什么
adj. 不管怎样的
det. 不管什么,无论何事"
weapon," n. 武器, 兵器"
uniform," adj. 一致的,统一的
n. 制服
vt. 穿制服"
twig," n. 小枝, 嫩枝
v. 理解，领悟"
transfer," n. 迁移, 移动, 换车
v. 转移, 调转, 调任"
terrain," n. 地带,地域,地形"
terra," n. 土, 土地, 地球"
supplement," n. 补充物,增刊
vt. 补充,增补"
superior," n. 上级,高手,上标
adj. 上层的,上好的,出众的,高傲的"
superiority," n. 优越性, 优势"
suit," n. 套装, 诉讼, 请求
v. 适合, 取悦, 满足"
substantial," n. 重要部份, 本质
adj. 大量的, 实质上的, 有内容的"
struggle," n. 竞争,努力,奋斗
v. 努力,奋斗,挣扎"
stem," n. 茎,干,船首,词干,血统
vt. 堵住,阻止,抽去梗
vi. 起源于,发生"
spiral," n. 旋涡, 螺旋形之物
adj. 螺旋形的, 盘旋的
v. 成螺旋状下降或上升, 成螺旋状旋转"
speculation," n. 沉思, 推测, 投机"
speculate," vt. 推测,好奇
vi. 深思,投机"
spear," n. 矛(正负电子对撞机)
vt 用矛刺"
specimen," n. 样本,标本"
slope," n. 倾斜,斜坡,斜面,斜线
vt. 使倾斜
vi. 倾斜,有坡度"
sink," n. 接收端,沟渠,污水槽,散热器
vi. 下沉,下落,陷于,倾斜,恶化,渗透
vt. 下沉,陷于,倾斜,减少"
shrub," n. 灌木
n. 果汁甜酒"
selection," n. 选择,挑选,挑选出来的人或事"
seal," n. 印章, 封条, 海豹
v. 盖印, 封闭, 猎海豹"
sandstone, n. 砂岩
realist, n. 现实主义者，唯实论者
realistic," adj. 现实的, 现实主义的"
psychological, adj. 心理(学)的
psychologist, n. 心理学家
primate," n. 灵长目动物
n. (常大写)首席主教"
precede," vt. &vi. 在...之前,优于,较...优先"
possess," v. 持有,克制,为...着迷"
originate," vt. 发起
vi. 开始
[计算机] 起始"
originator," n. 创始人, 发起人"
orchid," n. 兰花,淡紫色"
orchestra, n. 管弦乐队
orchestral, adj. 管弦乐的，管弦乐队的
oppose," vt. 反对,以...对抗,抗争"
nutrient," adj. 营养的,滋养的
n. 营养物,营养品"
nutritious," adj. 有营养成份的,营养的"
nucleus," n. 核,核心,细胞核,原子核"
molten," adj. 熔化的,炽热的,铸造的
vbl. 融化,溶解,变软"
moisture," n. 潮湿,湿气"
moist," adj. 潮湿的, 湿润的
(果物)多汁的
[医]有分泌物的, 湿性的
n.潮湿"
miss," n.（用于姓名或姓之前，对未婚女子的称呼）小姐； 女士； 失误
v.漏掉； 错过（机会）； 思念； 没遇到"
mirror," n. 镜子
vt. 反映,反射"
mechanize," vt. 使机械化, 用机械操作"
mechanical," adj. 机械的,力学的,呆板的   
n.(供制版用的)样书, 版面设计"
maximum," n. 极点, 最大量, 极大
adj. 最高的, 最大极限的"
lip, n. 嘴唇
intrigue," n. 阴谋,复杂的事,私通
vt. 欺骗,激起...的兴趣
vi. 密谋"
igneous," adj. 火的, 似火的, [地质]火成的"
hypothalamus," n. [医]丘脑下部, 下丘脑"
herd," n. 兽群,人群,牧人
vt. 群集,使...成群,放牧
vi. 聚在一起"
hence," adv. 今后, 从此, 因此, 所以"
firm," n. 商行,公司
vt. (使)变得坚实,定案
vi. 变硬,恢复
adj. 坚定的,坚固的,结实的
adv. 稳固地,坚定地"
firmly, adv. 牢牢地
fireplace, n. 壁炉
figurine," n. 小塑像, 小雕像"
falcon, n. 猎鹰
extent," n. 广度,宽度,长度,大小,范围,范围,程度
n. [律]&lt;英&gt;扣押, &lt;美&gt;临时所有权令"
slide," n. 滑,幻灯片,雪崩,山崩,滑坡,滑梯
vt. 使滑
vi. 滑,跌落"
shallow," adj. 浅的, 肤浅的, 浅显易懂的
n. (pl.)浅滩, 浅处
v. 变浅"
sensitive," adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的 
n. 敏感的人"
sensitivity," n. 敏感, 多愁善感, 感受性"
hypersensitive, adj. 过份敏感的
scrub," n. 用力擦洗,矮树,渺小之物
vt.& vi. 用力擦洗"
scent," n. 气味,香味,痕迹
vt. 闻出,发觉,使充满味道,得到...的暗示
vi. 嗅闻,循着遗臭追踪,散发气味"
routine," n. 例行公事, 常规，无聊
adj. 常规的, 例行的，乏味的"
resilience," n. 跳回(回弹,弹力,弹性变形,冲击值)"
relief, n.宽慰，安心； 免除，减轻； 救援物资； 代班人
reindeer, n. 驯鹿
reef," n. 暗礁, 收缩帆部份"
reality," n. 现实,实际,真实"
radically," adv. 根本地, 完全地，过激地"
propulsion," n. 推进, 推进力"
pride," n. 高傲,自豪,自尊,一群狮子
vt. 以...自豪"
outlet," n. 出口, 出路, 通风口, 批发商店"
opponent," n. 对手, 敌手, 反对者
adj. 敌对的, 反对的"
mode," n. 方式,样式,模式,风格,时兴
[音乐] 调式"
mine," pron.(I的所有格)我的（东西）
n.矿； 矿井； 地雷； 水雷
vt.& vi.在…中开采，开采
vt.在…中[下]布雷； 以地雷[水雷]炸毁"
mathematical, adj. 数学的，精确的，可能性极小的
mammoth," n. 长毛象
adj. 长毛象似的, 巨大的"
lunar," adj. 月亮的,阴历的,银的"
precise," adj. 精确的,准确的,认真的"
postal," adj. 邮政的
n. [美]明信片"
polar," adj. 两极的,南辕北辙的,极地的
n. 极线,极性"
platform," n. 平台,月台,讲台,坛,计划"
pent," adj. 被关押的，被禁锢的
动词pen的过去式和过去分词形式"
outline," n. 大纲,轮廓,概要,略图,素描
vt. 描画轮廓,描述要点"
literary, adj. 文学的
leaf," n. 树叶,页,活动桌板,花瓣
vt. 翻页
vi. 长叶子,翻页浏览"
leafy," adj. 叶茂盛的, 多叶的, 叶状的"
lava," n. 熔岩, 火山岩"
laboratory," n. 实验室, 实验大楼"
intermediate," adj. 中级的,中间的
n. 中间体,媒介物, 调解人
vi. 调解, 干涉"
institute," n. 学会,学院,协会
vt. 创立,开始,制定"
institution," n. 机构,惯例,创立"
inhibit," vt. &vi. 禁止,抑制
[计算机] 禁止"
impart," vt. 传授, 赋予, 告知"
harsh," adj. 粗糙的, 使人不舒服的，刺耳的, 严厉的，大约的"
harmful, adj. 有害的
harm," n. 伤害
vt. 伤害"
hall," n. 大厅, 礼堂"
guarantee," n. 保证(书), 担保(书)
n. 担保人; 抵押品
vt. 保证, 担保"
gratify," v. 使满足，使高兴
v. 酬劳，回报"
geographical," adj. 地理的,地理学的
=geographic"
geographer, n. 地理学者
gallery," n. 美术馆, 画廊, 顶层楼座, 狭长的房间"
furnace," n. 炉子,熔炉,闷热地带,严峻考验"
fungus," n. 真菌, 霉菌
（复数为funguses或fungi)"
frustration," n. 打破,挫折,顿挫
[计算机] 失败"
foundation, n. 基础；地基；基金会；根据；创立
fairground, n. 游乐场
expedition," n. 远征,探险队,迅速"
exert," vt. 运用, 施加（压力，影响等）"
exactly," adj. 完全的
adv. 恰好地,正好地,正确地,精确地,正是"
exact," adj. 精确的
vt. 强求,要求,索取"
enzyme, n. 酶
eddy," n. 逆流, 漩涡
v. 起漩涡"
eager," adj. 渴望的, 热切的"
fir," n. 枞树, 枞木"
costume," n. 服装,剧装
vt. 提供服装, 为...设计服装
adj. 服装打扮的"
constituent," n. 成份,选民,构成物
adj. 构成的,组织的,有提名权的"
conservation," n. 保存, 防止流失, 守恒, 保护自然资源"
conservative," adj. 保守的,守旧的
n. 保守派(党),保守的人"
congress, n. 国会；代表大会；会议；社交
concur," v. 意见相同, 一致, 互助"
compact," adj. 紧凑的,紧密的,简洁的
v. 使装满,使简洁"
colleague, n. 同事
diver, n. 跳水者，潜水员
dive," n. 潜水,跳水
vt. 跳水,俯冲
vi. 把...伸入"
dimension," n. 尺寸, 次元, 容积, 维度
n. 范围; 方面
vt. 标尺寸; 形成...尺寸"
dig," v. 挖, 翻土"
density," n. 密集,密度,透明度"
cuneiform," adj. 楔形的, 楔形文字的
n. 楔形文字，楔形骨"
countryside," n. 乡下, 农村"
bulb," n. 电灯泡,球状物"
beside," prep. 在...旁边,与…相比"
bay," adj. 红棕色
n. 红棕色,隔间,配电间,犬吠,围困,海湾,月桂树,名望
vi. 嗥叫
vt. 吼叫着追赶或进攻,哀号,把...围困住"
attribute," n. 属性, 特征; 标志, 象征
vt. 归于, 属于"
artwork, n. 艺术品，美术品，(总称）插图
artificial," adj. 人造的,虚伪的,武断的"
apartment, n. 一套公寓房间
amusement," n. 娱乐, 消遣"
circumstance," n. 环境,(复数)境况,事件,详情"
circumscribe," vt. 在...周围画线, 限制"
circular," adj. 循环的,圆形的
n. 传单,通报"
circulation," n. 流通,循环,发行量,消息传播"
chief," adj. 主要的, 首席的
n. 首领"
centimeter, n. 厘米，公分
burst," n. 破裂,阵,爆发
vt.&vi. 爆裂,突发"
brush," n. 刷子,画笔,轻擦,小冲突, 灌木丛
vt. 用刷子清洗,画,拭去,打发
vi. 轻擦,拂拭"
advocate," vt.提倡； 拥护； 鼓吹； 为…辩护
n.（辩护）律师； 提倡者； 支持者"
adverse, adj. 不利的；有害的；反面的
administration," n. 行政,管理,中央政府"
acre, n. 英亩
acreage," n. 土地的面积, 英亩数"
wolf, n. 狼
welfare," n. 福利,社会保障,幸福
adj. 福利的"
weigh," vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚
n. 权衡；称重量"
vertical," adj. 垂直的,顶点的,纵向的
n. 垂直物, 垂直的位置"
velocity," n. 速度, 速率, 迅速"
utilize, vt. 利用
utility," n. 公共设施,效用,公用程序,实用品,实用
adj. 多效用的，多功能的"
twist," n. 卷曲物,旋转,扭曲,曲解,转折(体)
vt. 拧,缠绕,扭(曲)
vi. 蛇行,变形,转"
ultraviolet," adj. 紫外线的
n.紫外线"
trillion," n. 万亿, 大量, 兆
adj. 万亿的, 兆的"
toxic," adj. 有毒的
n. 有毒物质"
tourist," adj. 旅游的
n. 旅游者,观光者"
tourism," n. 旅游业,观光,游览"
tornado," n. 飓风,旋风,龙卷风"
trappings," n. 服饰, 装饰, 外部标志
名词trapping的复数形式"
tale," n. 叙述,传说,故事"
suspend," v. 推迟,悬(浮),挂,暂停,取消
vi. 吊,悬浮
vt. 悬,挂,吊,暂停,中止"
subtle," adj. 微妙的,敏感的,精细的,狡诈的,不明显的"
studio," n. 工作场所,画室，照相室，制片厂"
strand," n.（绳子的）股，绞； 海滨，河岸； （思想等的）一个组成部分
vt.使滞留，使搁浅； 使陷于困境
vi.搁浅； 陷入困境"
staple," n. 主要产物(要素),原料(地),U形(订书)钉
adj. 主要的,重要的
vt. 用订书机装订"
section," n. 零件,部分,章节,区域,部门,路段,断面
vt. 划分,切开
vi. 划分"
secret," adj. 秘密的,机密的
adv. 秘密地
n. 秘密"
sap, n.树液；精力  v. 使虚弱；削弱；逐渐破坏
sacrifice," n. 牺牲,供俸,祭品
vt. 牺牲,祭祀,贱卖
vi. 献祭,(棒球)作牺牲一击"
reward," n. 报酬,报答,赏金
vt. 给...报酬,奖赏"
review," n. 检讨, 复习, 回顾, 评审
vt. 温习, 检讨, 评论, 检阅
vi. 写评论"
restoration," n. 恢复, 归还, 复位"
reserve," n. 预备品, 贮存, 候补
n. 克制, 含蓄
vt. 保留, 预订, 延期"
relic," n. 神圣的遗物, 遗迹, 纪念物"
reliable," adj. 可靠的,可信的"
reel," n. 卷筒,线轴
vi. 蹒跚地走,旋转,骚乱,退缩,摇晃
vt. 卷,卷...于轴上, 旋转"
query," n. 疑问,疑问号,质问
vt. 询问,表示怀疑"
punishment, n. 惩罚
proof," adj. 防...的,耐...的,能防护
n. 校样,证据,证明
vt. 检验,给...做防护措施"
prominent," adj. 杰出的,显著的,突出的"
procedure," n. 程序, 手续, 步骤; 常规的做法"
prevalent," adj. 流行的, 普遍的"
predominantly," adv. 优越地,卓越地,主要地"
predecessor," n. 前辈, 前任, 原有事物"
potassium, n. 钾
phenomenon," n. 现象, 非凡的人或事物"
phenomena, n. 现象
Persian," adj. 波斯的(波斯人的)
n. 波斯(波斯人)"
perception," n. 感知, 认识, 观念"
nut," n. 坚果,螺母, 螺帽,难对付的人(事)
vi. 采坚果"
notation," n. 记号法,表示法,注释
[计算机] 记法"
motive," adj. 发动的,运动的,积极的,动机的
n. 动机, 主题
vt. 促使, 使有动机"
motivation, n. 动机
motivate," v. 给与动机,刺激,提高...的学习欲望"
niche," n. 壁龛；合适的职业；商机，有利可图的市场(或形势等)；
vt. 放入壁龛"
merely," adv. 仅仅,只不过"
meadow," n. 草地, 牧场"
marvel," n. 奇异的事物, 罕见的例子
v. 惊异于, 惊异"
manifest," n. 载货单,运货单,旅客名单
adj. 显然的,明白的
vt. 显示, 证实, 出示"
manifestation," n. 显示,证明,示威运动"
makeup," n. 组成(接通, 补给, 修理), 化妆品"
magma, n. 岩浆，糊剂
luxury," n. 奢侈, 豪华, 奢侈品"
legitimate," adj. 合法的, 正当的, 合理的, 世袭的
vt. 使合法, 授权, 宣布...为合法"
leather," adj. 皮革制的
n. 皮革
vt. 用皮革覆盖, 鞭打"
latent," adj. 潜伏的,潜在的
n. 隐约的指印, 指纹"
intricate," adj. 复杂的,错综的,缠结的,难懂的"
interview," n.  面谈,访问,接见
vt. 接见,对...进行面谈(试)
vi. 面试, 采访"
intend," v. 打算
vt. 想要,打算,计划"
intent," n. 意图,目的,意向, 含义
adj. 专心的,决心的,热心的"
integral," adj. 构成整体所必需的,完整的
n. [数学] 积分, 完整, 部分"
instruction," n. 说明,须知,指令,教学"
instructive, adj. 教育性的，有启发的，有益的
initiate," n. 创始人
adj. 新加入的
vt. 开始,创始,启蒙,介绍加入"
intention," n. 意图,意向,目的"
inform," vt.通知； 使活跃，使充满； 预示
vi.通知； 告发"
imagine," vt. 想像,幻想,猜测
vi. 想像起来,认为"
imagination," n. 想象,想象力,空想"
imaginary," adj. 想象的, 虚构的"
illumination," n. 照明, 阐释, 启发"
humidity," n. 湿度, 湿气"
hollow," n. 洞, 窟窿, 山谷
adj. 空的, 虚伪的, 空腹的
vt. 形成空洞, 挖空
vi. 形成空洞
adv. 有闷哑声, 完全地"
herb," n. 药草, 香草"
gull," n. 鸥
n. 易受骗之人
vt. 诈欺, 骗"
greedy, adj. 贪婪的
